GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mssc-beer-inventory-service,guru.sfg.beer.inventory.service.domain,BaseEntity,50,3,2,0,12,1,11,1,10,1
mssc-beer-inventory-service,guru.sfg.beer.inventory.service.domain,BeerInventory,45,7,0,0,9,2,8,1,8,1
mssc-beer-inventory-service,guru.sfg.beer.inventory.service.domain,BeerInventory.BeerInventoryBuilder,72,0,0,0,1,0,10,0,10,0
mssc-beer-inventory-service,guru.sfg.beer.inventory.service.web.controllers,BeerInventoryController,20,13,0,0,5,2,1,2,1,2
mssc-beer-inventory-service,guru.sfg.brewery.model,BeerInventoryDto,300,0,54,0,10,0,46,0,19,0
mssc-beer-inventory-service,guru.sfg.brewery.model,BeerOrderDto.BeerOrderDtoBuilder,90,0,0,0,1,0,12,0,12,0
mssc-beer-inventory-service,guru.sfg.brewery.model,BeerOrderLineDto.BeerOrderLineDtoBuilder,108,0,0,0,1,0,14,0,14,0
mssc-beer-inventory-service,guru.sfg.brewery.model,BeerInventoryDto.BeerInventoryDtoBuilder,63,0,0,0,1,0,9,0,9,0
mssc-beer-inventory-service,guru.sfg.brewery.model,BeerOrderLineDto,547,0,94,0,19,0,76,0,29,0
mssc-beer-inventory-service,guru.sfg.brewery.model,BeerOrderDto,453,0,78,0,17,0,64,0,25,0
mssc-beer-inventory-service,guru.sfg.beer.inventory.service.config,JmsConfig,0,18,0,0,0,6,0,2,0,2
mssc-beer-inventory-service,guru.sfg.beer.inventory.service.config,LocalDiscovery,3,0,0,0,1,0,1,0,1,0
mssc-beer-inventory-service,guru.sfg.beer.inventory.service.config,WebSecurityConfig,3,0,0,0,1,0,1,0,1,0
mssc-beer-inventory-service,guru.sfg.brewery.model.events,AllocateOrderResult.AllocateOrderResultBuilder,36,0,0,0,1,0,6,0,6,0
mssc-beer-inventory-service,guru.sfg.brewery.model.events,NewInventoryEvent,7,0,0,0,3,0,2,0,2,0
mssc-beer-inventory-service,guru.sfg.brewery.model.events,AllocateOrderRequest.AllocateOrderRequestBuilder,18,0,0,0,1,0,4,0,4,0
mssc-beer-inventory-service,guru.sfg.brewery.model.events,DeallocateOrderRequest.DeallocateOrderRequestBuilder,18,0,0,0,1,0,4,0,4,0
mssc-beer-inventory-service,guru.sfg.brewery.model.events,AllocateOrderRequest,85,0,14,0,5,0,16,0,9,0
mssc-beer-inventory-service,guru.sfg.brewery.model.events,BeerDto,429,0,78,0,13,0,64,0,25,0
mssc-beer-inventory-service,guru.sfg.brewery.model.events,BeerEvent,85,0,14,0,5,0,16,0,9,0
mssc-beer-inventory-service,guru.sfg.brewery.model.events,AllocateOrderResult,187,0,30,0,7,0,28,0,13,0
mssc-beer-inventory-service,guru.sfg.brewery.model.events,DeallocateOrderRequest,85,0,14,0,5,0,16,0,9,0
mssc-beer-inventory-service,guru.sfg.brewery.model.events,BeerEvent.BeerEventBuilder,18,0,0,0,1,0,4,0,4,0
mssc-beer-inventory-service,guru.sfg.brewery.model.events,BeerDto.BeerDtoBuilder,90,0,0,0,1,0,12,0,12,0
mssc-beer-inventory-service,guru.sfg.beer.inventory.service.web.mappers,DateMapper,38,3,4,0,8,1,4,1,2,1
mssc-beer-inventory-service,guru.sfg.beer.inventory.service.web.mappers,BeerInventoryMapperImpl,90,3,4,0,20,1,4,1,2,1
mssc-beer-inventory-service,guru.sfg.beer.inventory.service.services,AllocationListener,52,13,2,0,14,2,2,2,1,2
mssc-beer-inventory-service,guru.sfg.beer.inventory.service.services,NewInventoryListener,24,10,0,0,7,2,1,2,1,2
mssc-beer-inventory-service,guru.sfg.beer.inventory.service.services,AllocationServiceImpl,197,10,22,0,40,2,17,2,6,2
mssc-beer-inventory-service,guru.sfg.beer.inventory.service.services,DeallocationListener,6,10,0,0,2,2,1,2,1,2
mssc-beer-inventory-service,guru.sfg.beer.inventory.service,BeerInventoryApplication,5,3,0,0,2,1,1,1,1,1
